,benchmark,move_list
86,nutts,"[u'10 Handstand push-ups', u'250 pound Deadlift, 15 reps', u'25 Box jumps, 30 inch box', u'50 Pull-ups', u""100 Wallball shots, 20 pounds, 10'"", u'200 Double-unders', u'Run 400 meters with a 45lb plate', u'For Time']"
87,paul,"[u'Five rounds of:', u'50 Double unders', u'35 Knees to elbows', u'185 pound Overhead walk, 20 yards', u'For Time']"
88,pheezy,"[u'Three rounds of: ', u'165 pound Front squat, 5 reps', u'18 Pull-ups', u'225 pound Deadlift, 5 reps', u'18 Toes-to-bar', u'165 pound Push jerk, 5 reps', u'18 Hand-release push-ups', u'For time']"
89,rahoi,"[u'24 inch Box Jump, 12 reps', u'95 pound Thruster, 6 reps', u'6 Bar-facing burpees', u'AMRAP 12 Min']"
90,ralph,"[u'Four rounds for time of:', u'250 pound Deadlift, 8 reps', u'16 Burpees', u'15 foot Rope climb, 3 ascents', u'Run 600 meters']"
91,randy,"[u'75 pound power snatch, 75 reps', u'For time']"
92,rankel,"[u'Complete as many rounds as possible in 20 minutes of:', u'225 pound Deadlift, 6 reps', u'7 Burpee pull-ups', u'10 Kettlebell swings, 2 pood', u'Run 200 meters']"
93,ricky,"[u'10 Pull-ups', u'75 pound dumbbell Deadlift, 5 reps', u'135 pound Push-press, 8 reps', u'Rounds in 20 minutes']"
94,rj,"[u'Five rounds of:', u'Run 800 meters', u'15 ft Rope Climb, 5 ascents', u'50 Push-ups', u'For Time']"
95,roy,"[u'Five rounds', u'225 pound Deadlift, 15 reps', u'20 Box jumps, 24 inch box', u'25 Pull-ups', u'For Time']"
96,ryan,"[u'Five rounds of:', u'7 Muscle-ups', u'21 Burpees', u'Each burpee terminates with a jump one foot above max standing reach.', u'For time']"
97,santiago,"[u'Seven rounds of:', u'35 pound Dumbbell hang squat clean, 18 reps', u'18 Pull-ups', u'135 pound Power clean, 10 reps', u'10 Handstand push-ups', u'For time']"
98,santora,"[u'Three rounds of: ', u'155 pound Squat cleans, 1 minute', u""20' Shuttle sprints (20' forward + 20' backwards = 1 rep), 1 minute"", u'245 pound Deadlifts, 1 minute', u'Burpees, 1 minute', u'155 pound Jerks, 1 minute', u'Rest 1 minute', u'For reps']"
99,sean,"[u'Ten rounds for time of:', u'11 Chest to bar pull-ups', u'75 pound Front squat, 22 reps']"
100,severin,"[u'50 Strict Pull-ups', u'100 Push-ups, release hands from floor at the bottom', u'Run 5K', u""If you've got a twenty pound vest or body armor, wear it."", u'For Time']"
101,ship,"[u'Nine rounds of: ', u'185 pound Squat clean, 7 reps', u'8 Burpee box jumps, 36"" box', u'For time']"
102,small,"[u'Three rounds of:', u'Row 1000 meters', u'50 Burpees', u'50 Box jumps, 24"" box', u'Run 800 meters', u'For Time']"
103,stephen,"[u'30-25-20-15-10-5 rep rounds of:', u'GHD sit-up', u'Back extension', u'Knees to elbow', u'95 pound Stiff legged deadlift', u'For time']"
104,strange,"[u'Eight rounds of: ', u'600 meter Run', u'1.5 pood Weighted pull-up, 11 reps', u'11 Walking lunge steps, carrying 1.5 pood kettlebells', u'1.5 pood Kettlebell thruster, 11 reps', u'For time']"
105,the-chief,"[u'Max rounds in 3 minutes of:', u'135 pound Power cleans, 3 reps', u'6 Push-ups', u'9 Squats']"
106,the-seven,"[u'Seven rounds of:', u'7 Handstand push-ups', u'135 pound Thruster, 7 reps', u'7 Knees to elbows', u'245 pound Deadlift, 7 reps', u'7 Burpees', u'7 Kettlebell swings, 2 pood', u'7 Pull-ups', u'For Time']"
