,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
295,2016-01-12,"""Tabata"" - Handstand Holds, Hollow Holds and Burpees : 4 x 20 secs / 10 secs",29.0,True,11280,360000.0,29 reps | 4 + 4 + 21,76,"burpee, handstand hold, hollow hold",31.3333333333
297,2016-01-12,15-12-9: Front Squats and Toes-to-bars,132000.0,False,15933,132000.0,2 mins 12 secs,38,"toes-to-bar, front squat, squat",120.704545455
298,2016-01-10,"AMRAP 5 mins: Double Unders, Jumping Alternating Lunges and Wall Balls",2.583,True,24466,300000.0,2 rounds + 30 Double Unders + 15 Jumping Alternating Lunges | 165 reps,70,"double under, jumping alternating lunge, lunge, wall ball",81.5533333333
300,2016-01-10,Every 1 min for 15 mins: Power Clean & Jerk,864.0,True,14327,900000.0,864 kg,43,"clean, clean & jerk, jerk, power clean, power clean & jerk",15.9188888889
301,2016-01-10,Row 1000 m TT,239100.0,True,36124,239100.0,3 mins 59.1 secs,13,row,151.083228775
302,2016-01-09,CrossFit Games Open 11.2,5.148,True,56876,900000.0,5 rounds + 4 Deadlifts | 184 reps,24,,63.1955555556
304,2016-01-06,"7 RFT: Power Snatches, Handstand Push-ups and Pull-ups",900000.0,False,39651,900000.0,15 mins,54,"handstand push-up, pull-up, push-up, power snatch, snatch",44.0566666667
306,2016-01-05,Every 1 min for 15 mins: Split Jerk,884.5051215,True,3442,900000.0,1950 lbs,35,"jerk, split jerk",3.82444444444
309,2015-12-30,"3x RFT: Double Unders, Double Kettlebell Front Squats, and Pull-ups",494000.0,True,26731,494000.0,"8 mins 14 secs | (1 min 44 secs), (2 mins 50 secs), and (3 mins 40 secs)",67,"double under, pull-up, double kettlebell front squat, front squat, squat",54.1113360324
310,2015-12-29,"AMRAP 8 mins: Med Ball Sit Ups, Ball Slams and Wall Balls",3.733,False,14908,480000.0,3 rounds + 15 Med Ball Sit Ups + 10 Ball Slams + Wall Ball | 116 reps,57,"l sit, ball slam, wall ball",31.0583333333
313,2015-12-29,AMRAP 10 mins: Rope Climb (Legless)s and Pistols,4.0,False,8705,600000.0,4 rounds | 44 reps,48,"pistol, rope climb",14.5083333333
316,2015-12-22,CrossFit Games Open 11.4,0.667,True,43120,600000.0,0 rounds + 60 Burpee (Bar Facing)s + 30 Overhead Squats | 90 reps,24,,71.8666666667
318,2015-12-20,"""Tabata"" - Rows, Burpees, Ski Ergs, 2 and  more : 6 x 45 secs / 15 secs",314.0,False,82109,1800000.0,314 reps | 69 + 68 + 93 + 48 + 36,71,"row, burpee",45.6161111111
319,2015-12-20,"AMRAP 15 mins: Pistols, Handstand Walks, Handstand Push-ups and Walking Lunges",2.75,False,16550,600000.0,2 rounds + 10 Pistols + 5 ft + 10 Push-ups,78,"handstand walk, handstand push-up, lunge, pistol, push-up, walking lunge",27.5833333333
325,2015-12-18,CrossFit Games Open 11.5,6.733,False,51711,1200000.0,6 rounds + 5 Power Cleans + 10 Leg Raises + 3 Wall Balls | 198 reps,24,,43.0925
326,2015-12-18,"AMRAP 5 mins: Ball Slams, Medicine Ball Cleans and Wall Balls",2.0,False,19241,300000.0,2 rounds | 60 reps,61,"ball slam, clean, medicine ball clean, wall ball",64.1366666667
328,2015-12-16,"""Tabata"" - Handstand Holds, Burpees and Jumping Squats : 5 x 20 secs / 10 secs",86.0,True,28072,450000.0,86 reps | 5 + 27 + 54,78,"burpee, handstand hold, jumping squat, squat",62.3822222222
329,2015-12-16,"AMRAP 10 mins: Box Jumps, Shoulder-to-Overheads and Chest-to-bar Pull-ups",2.556,False,35181,600000.0,2 rounds + 25 Box Jumps + 10 Shoulder-to-Overheads | 135 reps,73,"box jump, chest-to-bar pull-up, pull-up, shoulder-to-overhead",58.635
